idx,Protein Source,Description,Nutritional Benefits,Common Uses,Label
41,Rice and Beans,"When combined, they create a complete protein profile.","Rich in fiber, iron, and complex carbohydrates.","Eaten together in meals such as burritos, tacos, and rice bowls.",Complete Protein
42,Black Beans,"Small, black beans that are high in protein and fiber, essential for vegan diets.","Packed with protein, fiber, and essential minerals like manganese.","Key ingredient in chili, burritos, and black bean salad.",Legume Protein
43,Cyanidium caldarium,"Red microalgae, thriving in extreme environments.","Contains carotenoids, antioxidants, and B vitamins.",Can be found in supplements and health products.,Health Enhancer
44,Edamame,"Young soybeans in the pod, commonly eaten boiled or steamed.","High in protein, fiber, and antioxidants.",Often served as a snack or added to salads and rice dishes.,Complete Protein
45,Buckwheat,"Not a grain, but a seed, with a similar nutritional profile to quinoa.","Contains fiber, manganese, and magnesium.","Used in porridge, pancakes, and as a gluten-free flour substitute.",Complete Protein
46,Cannellini Beans,"White beans with a mild flavor, often used in Mediterranean cuisine.","High in protein, fiber, and antioxidants.","Added to salads, soups, and bean dips.",Legume Protein
47,Crypthecodinium cohnii,"Blue-green microalgae, used as a dietary supplement for its high protein content.",Rich in essential fatty acids and amino acids.,Capsules and powder form available for supplementation.,Microalgae Protein
48,Pea Protein Powder,"Derived from yellow split peas, this powder is a plant-based protein alternative.",Rich in protein and contains essential amino acids.,"Added to smoothies, oatmeal, and protein shakes.",Complete Protein
49,Black-eyed Peas,"Small, round legumes with a black spot, popular in Southern cuisine.","High in protein, fiber, and iron.",Incorporated into dishes like Hoppin' John and pea soup.,Legume Protein
50,Haematococcus pluvialis,"Microalgae that produce astaxanthin, a powerful antioxidant.","High in protein, omega-3 fatty acids, and astaxanthin.",Consumed as a supplement for its antioxidant properties.,Astaxanthin Producer
51,Peanut Butter,"Smooth, nutritious spread made from ground peanuts.","Contains protein, healthy fats, and essential vitamins and minerals.","Spread on toast, used in baking, or mixed into smoothies.",Complete Protein
52,Red Kidney Beans,"Large, kidney-shaped beans with a mild flavor, often used in Indian dishes.","Contain protein, fiber, iron, and antioxidants.","Utilized in chili, bhindi masala, and red bean curry.",Legume Protein
53,Tetraselmis chuii,Single-celled green algae from the North Pacific.,"High in polyunsaturated fatty acids, particularly EPA and DHA.",Available as a supplement for omega-3 enrichment.,Omega-3 Rich
54,Brazil Nuts,Nuts with a high content of protein and selenium.,"Rich in protein, fiber, and healthy fats.","Can be eaten raw, roasted, or used in baking.",Complete Protein
55,Tofu,Soybean curd made by coagulating soy milk.,"High in protein, calcium, and iron.","Can be used in stir-fries, sandwiches, and desserts.",Complete Protein
56,Fava Beans,"Also known as broad beans, these are rich in protein and fiber.","Contains protein, iron, and vitamin K.","Used in bean stews, salads, and hummus.",Legume Protein
57,Arthrospira platensis,"Green, spiral-shaped microalgae, also known as Spirulina platensis.","Contains protein, B vitamins, and antioxidants.",Often used as a dietary supplement in capsule or powder form.,Microalgae Protein
58,Chia Seeds,"Small, oval-shaped seeds with a mild flavor.","High in protein, omega-3 fatty acids, fiber, and minerals like calcium, phosphorus, and manganese.","Can be added to puddings, smoothies, and baked goods.",Complete Protein
59,Fava Beans,"Small, cream-colored beans, often eaten fresh or cooked as a stew.","Rich in protein, fiber, and minerals like iron and potassium.","Used in falafel, salads, and bean dishes.",Legume Protein
60,Spirulina platensis,"Blue-green algae, often referred to as 'blue-green spirulina'.","Contains protein, B vitamins, and antioxidants.",A common supplement for its nutritional benefits.,Blue-Green Spirulina
61,Edamame,"Young soybeans in the pod, often served boiled or steamed.","High in protein, fiber, and antioxidants.","Can be eaten as a snack, added to salads, or used as a protein in stir-fries.",Complete Protein
62,Soybeans,"One of the richest plant-based protein sources, used to make tofu and tempeh.","High in protein, fiber, and phytoestrogens.","Processed into tofu, tempeh, soy milk, and used in vegan burgers.",Legume Protein
63,Phaeodactylum tricornutum,"Oil-rich microalgae, with high content of EPA and DHA.","Provides omega-3 fatty acids, vitamins, and minerals.","Utilized in aquaculture, nutraceuticals, and as a dietary supplement.",Omega-3 Rich
64,Chia Seeds,Omega-3-rich seeds that expand in liquid.,"High in fiber, protein, and omega-3 fatty acids.","Added to yogurt, oatmeal, or used to make chia pudding.",Complete Protein
65,Pumpkin Seeds,"Roasted or salted seeds from pumpkins, a great source of protein and minerals.","Rich in zinc, magnesium, and phosphorus.",Can be eaten as a snack or added to granola and trail mixes.,Seed Protein
66,Lima Beans,"Green legumes with a mild flavor, used in soups and salads.","High in fiber, protein, and folate.","Added to bean salads, chili, and casseroles.",Legume Protein
67,Nostoc sp.,"Blue-green microalgae, found in freshwater and saltwater habitats.","Rich in protein, nitrogen-fixing bacteria.","Available in dried and powdered form, used in dietary supplements.",Microalgae Protein
68,Green Peas,"Small, round green seeds that are high in protein and fiber.","Rich in protein, vitamins A and C, and fiber.","Can be eaten as a side dish, added to salads, or used in soups.",Legume Protein
69,Pigeon Peas,"Small, round peas used in Caribbean, South American, and Indian dishes.","High in protein, fiber, and essential vitamins.","Found in curries, rice dishes, and stews.",Legume Protein
70,Tetraselmis chui,"A green microalgae, used in aquaculture and supplements.","Rich in protein, vitamins, and fatty acids.",Commonly used as a supplement for its nutritional benefits.,Aquaculture Supplement
71,Spirulina Powder,"Dried and powdered form of blue-green algae, high in protein.","Contains protein, vitamins B1, B2, B3, copper, and manganese.","Mix into smoothies, oatmeal, or use as a dietary supplement.",Complete Protein
72,Cannellini Beans,"White beans with a nutty flavor, often used in Italian cooking.","Rich in protein, fiber, and vitamin B6.","Incorporated in soups, salads, and spreads like hummus.",Legume Protein
73,Trebia viridis,Green algae with high content of essential amino acids and fatty acids.,"Rich in protein, essential fatty acids, and vitamins.",Available in dietary supplements and functional foods.,Complete Protein
74,Amaranth,Ancient grain with a complete protein profile.,"Contains protein, fiber, and lysine.",Can be cooked as a rice substitute or added to soups and stews.,Complete Protein
75,Walnuts,Rich in omega-3 fatty acids and protein.,"Contains protein, fiber, and antioxidants.","Can be eaten raw or roasted, added to salads and baked goods.",Nut Protein
76,Green Peas,A sweet and savory legume used in various dishes.,"Rich in protein, fiber, and vitamins like vitamin C and K.","Incorporated in dishes like pea soup, risotto, and curries.",Legume Protein
77,Aphanizomenon flos-aquae,"Blue-green, free-floating microalgae, commonly used in dietary supplements.","Contains protein, B vitamins, and antioxidants.",Often found in powder form or as a dietary supplement.,Microalgae Protein
78,Hemp Seed Milk,Milk made from ground hemp seeds.,"Rich in protein, omega-3 and omega-6 fatty acids, and vitamin E.","Can be used as a milk substitute in cereals, smoothies, and coffee.",Complete Protein
79,Split Peas,"Half-cooked peas that are dried, split, and then used in soups.","Rich in protein, fiber, and vitamins like B and C.",Common in pea soup and Indian dals.,Legume Protein
80,Dunaliella salina,"Red microalgae, high in beta-carotene and protein.","Contains high levels of protein, vitamins, and beta-carotene.",Consumed as a supplement for its nutritional benefits.,Beta-Carotene Rich Protein
81,Nutritional Yeast,A deactivated yeast with a cheesy flavor.,"Provides complete protein, including all essential amino acids, along with vitamins B12 and B6.","Added to popcorn, pasta dishes, and sprinkled on top of salads.",Complete Protein
82,Black-Eyed Peas,"Small, black-eyed peas with a sweet, nutty flavor, popular in Southern U.S. cuisine.","Contain protein, fiber, iron, and folate.","Used in dishes like Hoppin' John, salads, and soups.",Legume Protein
83,Isochrysis galbana,Microalgae used in aquaculture for its rich nutritional profile.,"Contains DHA, EPA, and various essential nutrients.",Used in fish and shrimp feed to promote growth.,Aquaculture Feed
84,Pea Protein Powder,"Extracted from yellow peas, used as a protein supplement.",High in protein and B vitamins.,"Used in protein shakes, smoothies, and as a nutritional powder.",Complete Protein
85,Ezekiel Bread,A whole-grain bread made from sprouted grains and legumes.,"Rich in protein, fiber, and minerals.","Used as a staple bread in vegan diets, in sandwiches and toast.",Whole Grain Protein
86,Mung Beans,A nutrient-rich legume with a slightly sweet taste.,"Contains protein, fiber, and vitamins like B6 and folate.","Used in soups, stir-fries, and bean sprouts.",Legume Protein
87,Dunaliella salina,"Red algae, a high-protein dietary supplement for aquatic animals.",High in beta-carotene and essential fatty acids.,Primarily used in aquaculture for feeding.,Microalgae Protein
88,Spirulina Powder,Dried powder made from blue-green algae.,"High in protein, vitamins, and antioxidants.","Added to smoothies, juices, and as a dietary supplement.",Microalgae Protein
89,Lima Beans,"Medium-sized, white beans with a mild flavor, used in chili and casseroles.","High in protein, fiber, and folate.","Frequently added to chili, casseroles, and bean salads.",Legume Protein
90,Microcystis aeruginosa,"A freshwater microalgae, known for its ability to produce toxins.","Contains protein, but not recommended for consumption.",Generally avoided in food or supplements due to toxin production.,Toxin Producing Algae
91,Hemp Milk,Almond-like milk made from hemp seeds.,"Rich in protein, omega-3 and omega-6 fatty acids, and fiber.","Can be used in coffee, cereals, and as a dairy substitute in recipes.",Complete Protein
92,Navy Beans,"Small, creamy beans with a nutty flavor, commonly used in baked beans and chili.","Rich in protein, fiber, and complex carbohydrates.","Incorporated in baked beans, chili, and mashed beans.",Legume Protein
93,Skeletonema costatum,A species of diatom used in nutritional supplements.,"Contains protein, lipids, and trace elements.",Used in the production of health foods and dietary supplements.,Nutritional Supplement
94,Nutritional Yeast,Deactivated yeast with a cheesy flavor.,"Contains protein, B vitamins, and is vegan.","Added to popcorn, soups, and sprinkled on pasta dishes.",Complete Protein
96,Kidney Beans,"Another hearty legume, known for its deep red color.","High in protein, fiber, and iron.","Used in chili, baked beans, and bean salads.",Legume Protein
97,Isochrysis galbana,"Yellow-green, often used as a dietary supplement for its high protein content.",Rich in fatty acids and amino acids.,Capsules and powder form available for dietary supplementation.,Microalgae Protein
98,Nutritional Yeast,"Deactivated yeast, often used as a flavor enhancer in vegan cooking.","Rich in protein, B vitamins, and minerals.","Added to popcorn, scrambled tofu, and vegan cheese sauces.",Complete Protein
99,Baked Beans,"Cooked and sweetened beans, often served with toast for breakfast.","Rich in protein, fiber, and complex carbohydrates.",Popular as a breakfast side or in a baked bean dish.,Legume Protein
